ROUTE,vols,annulations,distance,taux_annulation,origine,destination,rang,part_routes_cumulee,part_annulations_cumulee
DFW -> BTR,2335,88,383.0,3.7687366167023555,DFW,BTR,178,3.792883017259749,28.903122497998403
ICT -> ORD,2097,88,588.0,4.196471149260849,ICT,ORD,179,3.8141913488173875,29.00377444812993
SMF -> SFO,1624,88,86.0,5.41871921182266,SMF,SFO,180,3.835499680375026,29.104426398261467
MLI -> ORD,1615,88,139.0,5.448916408668731,MLI,ORD,181,3.8568080119326655,29.205078348393
DFW -> CRP,1496,88,354.0,5.88235294117647,DFW,CRP,182,3.8781163434903045,29.305730298524534
CLL -> DFW,1604,87,164.0,5.423940149625936,CLL,DFW,183,3.899424675047944,29.405238476495484
ATL -> DFW,7056,86,731.0,1.2188208616780045,ATL,DFW,184,3.9207330066055825,29.503602882305845
MCO -> JFK,5346,86,944.0,1.6086793864571642,MCO,JFK,185,3.942041338163222,29.60196728811621
TVC -> ORD,1784,86,224.0,4.820627802690583,TVC,ORD,186,3.9633496697208606,29.700331693926568
EVV -> ORD,1737,86,272.19401266551523,4.951065054691997,EVV,ORD,187,3.9846580012785,29.798696099736933
OAK -> SAN,3540,85,446.0,2.401129943502825,OAK,SAN,188,4.005966332836139,29.895916733386706
FNT -> ORD,1860,85,223.0,4.56989247311828,FNT,ORD,189,4.027274664393778,29.99313736703649
ORD -> MLI,1612,85,139.0,5.272952853598015,ORD,MLI,190,4.048582995951417,30.090358000686262
DFW -> OKC,2710,84,175.0,3.0996309963099633,DFW,OKC,191,4.069891327509056,30.186434862175453
BUF -> ORD,2008,84,473.2141434262948,4.183266932270916,BUF,ORD,192,4.091199659066695,30.282511723664644
AMA -> DFW,1202,84,312.0,6.988352745424292,AMA,DFW,193,4.112507990624334,30.37858858515384
DFW -> MAF,1168,84,309.0,7.191780821917808,DFW,MAF,194,4.133816322181973,30.47466544664303
JFK -> MCO,5349,83,944.0,1.5516919050289775,JFK,MCO,195,4.1551246537396125,30.569598535971636
JAN -> DFW,2278,83,408.0,3.6435469710272166,JAN,DFW,196,4.176432985297252,30.66453162530024
DFW -> XNA,2222,83,280.0,3.7353735373537353,DFW,XNA,197,4.1977413168548905,30.759464714628848
DFW -> CLL,1604,83,164.0,5.1745635910224435,DFW,CLL,198,4.21904964841253,30.85439780395745
BNA -> DFW,2750,82,631.0,2.9818181818181815,BNA,DFW,199,4.2403579799701685,30.94818712112547
DAL -> LGA,2571,82,1381.0,3.1894204589653827,DAL,LGA,200,4.261666311527807,31.04197643829349
IND -> EWR,1287,82,645.0,6.371406371406371,IND,EWR,201,4.2829746430854465,31.135765755461513
PHL -> ATL,6621,81,666.0,1.2233801540552787,PHL,ATL,202,4.304282974643085,31.228411300468945
SMF -> LAX,5574,81,373.0,1.4531754574811624,SMF,LAX,203,4.3255913062007245,31.32105684547638
BOS -> ATL,4682,81,946.0,1.7300299017513885,BOS,ATL,204,4.346899637758363,31.413702390483817
DFW -> SFO,4555,81,1464.0,1.778265642151482,DFW,SFO,205,4.3682079693160025,31.506347935491252
